"AverageSpeed","tick"
106.81000000000002,140.0
106.91000000000001,141.0
106.98,142.0
107.04999999999998,143.0
107.12,144.0
105.78999999999998,145.0
104.73000000000003,146.0
104.94,147.0
104.94,148.0
105.01,149.0
103.59999999999997,150.0
103.80999999999995,151.0
104.02,152.0
104.23000000000002,153.0
103.23999999999998,154.0
103.44999999999997,155.0
103.66000000000004,156.0
103.87000000000002,157.0
102.88,158.0
103.08999999999999,159.0
103.30000000000003,160.0
103.50999999999998,161.0
103.71999999999998,162.0
102.73000000000003,163.0
102.93999999999993,164.0
103.15000000000002,165.0
103.35999999999999,166.0
103.57000000000001,167.0
103.72000000000001,168.0
103.86,169.0
103.99999999999999,170.0
103.99999999999999,171.0
103.99999999999999,172.0
103.99999999999999,173.0
103.99999999999999,174.0
103.99999999999999,175.0
103.99999999999999,176.0
103.99999999999999,177.0
103.99999999999999,178.0
103.99999999999999,179.0
103.99999999999999,180.0
102.59999999999995,181.0
102.66999999999997,182.0
102.73999999999998,183.0
101.61,184.0
98.99999999999997,185.0
97.81,186.0
97.74000000000005,187.0
97.94999999999997,188.0
96.19999999999999,189.0
96.27,190.0
95.16000000000003,191.0
95.22999999999999,192.0
94.3,193.0
94.44,194.0
94.44,195.0
94.51,196.0
94.58000000000001,197.0
93.64999999999999,198.0
93.72000000000003,199.0
93.78999999999998,200.0
93.06999999999996,201.0
93.41999999999997,202.0
93.98000000000002,203.0
94.54,204.0
94.68000000000002,205.0
95.22999999999999,206.0
95.99999999999994,207.0
96.62999999999998,208.0
97.40000000000002,209.0
98.17,210.0
97.54000000000002,211.0
98.37999999999998,212.0
98.42,213.0
99.32999999999998,214.0
100.24000000000001,215.0
100.88999999999999,216.0
101.73000000000002,217.0
102.37,218.0
103.00999999999999,219.0
103.57999999999998,220.0
104.09,221.0
104.44999999999999,222.0
104.62999999999995,223.0
103.96999999999996,224.0
104.17999999999995,225.0
104.38999999999999,226.0
103.32999999999998,227.0
102.74,228.0
102.94999999999997,229.0
103.16000000000001,230.0
103.37000000000003,231.0
103.51000000000003,232.0
103.64999999999998,233.0
103.79000000000002,234.0
103.92999999999998,235.0
104.02999999999996,236.0
104.10000000000002,237.0
103.37,238.0
103.50999999999999,239.0
103.65,240.0
103.79,241.0
103.64999999999999,242.0
103.72000000000001,243.0
103.79,244.0
103.79999999999998,245.0
103.79999999999998,246.0
103.79999999999998,247.0
102.99999999999999,248.0
103.07,249.0
102.99999999999999,250.0
102.99999999999999,251.0
102.99999999999999,252.0
102.99999999999999,253.0
102.99999999999999,254.0
102.99999999999999,255.0
102.99999999999999,256.0
102.19999999999999,257.0
102.27000000000002,258.0
101.54000000000003,259.0
101.47,260.0
100.14,261.0
100.28,262.0
100.13999999999997,263.0
99.40999999999998,264.0
99.54999999999998,265.0
99.54999999999998,266.0
99.61999999999998,267.0
99.68999999999998,268.0
99.75999999999999,269.0
99.82999999999997,270.0
99.1,271.0
99.23999999999998,272.0
99.37999999999997,273.0
99.31,274.0
99.37999999999998,275.0
99.45000000000002,276.0
99.52000000000001,277.0
99.59,278.0
99.66000000000001,279.0
99.72999999999998,280.0
99.80000000000001,281.0
99.80000000000001,282.0
99.80000000000001,283.0
99.80000000000001,284.0
99.80000000000001,285.0
